Consumer shift (22:00 -6:00) arrival times,answer times,completion times
1320.5906550895193,1320.590655, 1322.582281037565
1321.644929092989,1321.644929, 1322.8771882767328
1322.1170243418792,1322.582281, 1323.7636376132846
1323.4496031352319,1323.449603, 1324.328725245355
1324.5006443796167,1324.500644, 1325.5086690560536
1327.1393702007488,1327.13937, 1328.1488289746342
1327.4995214133676,1327.499521, 1328.521080580406
1327.7141126933275,1328.148829, 1329.9266825321326
1330.031149178887,1330.031149, 1330.4478158455538
1331.509592439369,1331.509592, 1332.2261045080372
1332.9952133356228,1332.995213, 1334.1754077241396
1332.8131151136836,1332.813115, 1334.585276236159
1333.8204938738197,1334.175408, 1335.3607770920057
1335.0238823624773,1335.023882, 1335.5349346162948
1335.0980888389322,1335.360777, 1336.640712081513
1336.437756491098,1336.640712, 1337.5659485302656
1336.319092598688,1336.319093, 1337.5979071426568
1337.333248172895,1337.565949, 1338.0610510137033
1337.6290654129439,1338.061051, 1338.47771768037
1337.9888096653858,1338.477718, 1339.0884383539826
1337.3627129376328,1337.597907, 1339.1136337738897
1338.4033141621535,1339.113634, 1339.7626832757976
1338.320377115991,1339.088438, 1339.9791493958196
1338.6048564189032,1339.762683, 1341.1380319134212
1339.9880781312866,1339.988078, 1341.259273699906
1340.0693180322653,1341.138032, 1342.4805872731745
1341.056966274161,1341.259274, 1342.7004034330396
1341.0627140771203,1342.480587, 1343.1915496946465
1341.298849432113,1342.700403, 1344.4289980599865
1342.5810818002858,1344.428998, 1345.8592301956755
1341.8336772217406,1343.19155, 1346.2243207618753
1343.160146571233,1345.85923, 1346.2758968623423
1343.6918306796451,1346.275897, 1346.7733213140853
1345.4357358118937,1346.773321, 1347.4543964719307
1343.6205044241296,1346.224321, 1347.677502531279
1346.0546841448,1347.454396, 1348.9602428772116
1348.9100212279106,1348.960243, 1349.7683623175194
1348.2608408107271,1348.260841, 1349.8321314698208
1349.3334677675355,1349.832131, 1351.07649866923
1348.9394992888788,1349.768362, 1351.5287780650997
1350.0677416945603,1351.528778, 1352.5682104425746
1349.6562079852683,1351.076499, 1352.9985040164522
1350.24156347512,1352.56821, 1353.3038860322804
1352.2585788609874,1353.303886, 1354.0246021089445
1351.1315623480102,1352.998504, 1354.508922808504
1352.9287946168627,1354.024602, 1355.2806944622776
1353.5855054326537,1354.508923, 1356.277216389259
1353.6069807556864,1355.280694, 1356.4407139935297
1355.59501527623,1356.440714, 1357.4882884086176
1353.8344632592905,1356.277216, 1357.839886197223
1357.2024295142462,1357.839886, 1359.1014272809941
1357.020515223072,1357.488288, 1359.538085267201
1357.6671510253075,1359.101427, 1360.0979565282557
1359.018490443709,1359.538085, 1360.9540345090943
1359.2051359580996,1360.097957, 1361.2292640734224
1359.8666907890363,1360.954035, 1362.0084109958211
1361.1064918886232,1362.008411, 1362.7324881043305
1359.9487528256996,1361.229264, 1362.7807219926672
1361.3147207648515,1362.732488, 1364.3540943295625
1362.756645830047,1362.780722, 1364.4187091100011
1364.3376848497287,1364.354094, 1365.2054420265747
1365.513764806582,1365.513765, 1366.3054655339802
1365.0990169033028,1365.099017, 1366.3771698681678
1366.9705614888421,1366.970561, 1367.4463222457182
1365.966313953624,1366.305466, 1367.5735119021144
1368.4256731415446,1368.425673, 1370.0708288525825
1369.012870744653,1369.012871, 1370.4345274050843
1369.801873088864,1370.070829, 1371.771390204026
1370.8126358873133,1371.77139, 1372.3639313519886
1370.4882507094899,1370.488251, 1372.81560697515
1371.9469454647044,1372.815607, 1373.4348350955702
1371.1709601024713,1372.363931, 1374.171190881768
1375.0986620079102,1375.098662, 1375.515328674577
1374.050118491067,1374.050118, 1376.0109901392075
1375.1421278935234,1375.515329, 1376.9517923139733
1375.4823641588769,1376.01099, 1377.5954281111851
1377.77754461803,1377.777545, 1378.7422444245512
1375.9231610657357,1376.951792, 1378.7783383369847
1377.9353894662497,1378.742244, 1379.158911091218
1377.9609439937362,1378.778338, 1380.4929121402874
1378.5181384580846,1379.158911, 1380.9755897434295
1380.0754923906268,1380.97559, 1382.441750103553
1379.6214142691106,1380.492912, 1382.6192087047245
1381.7141087342477,1382.619209, 1383.8849114450106
1380.4823243769868,1382.44175, 1384.1713200256233
1383.648574594197,1384.17132, 1384.58798669229
1384.2893211057626,1384.587987, 1385.0434733944371
1383.315393003803,1383.884911, 1385.928727829676
1385.3143241979355,1385.314324, 1386.3261016145668
1387.3930945976053,1387.393095, 1387.8625135900934
1388.021307416312,1388.021307, 1388.9451423871694
1387.5782841849548,1387.578284, 1389.2619177412594
1388.205562368497,1388.945142, 1389.3618090538362
1388.7541464385329,1389.261918, 1391.0164277361116
1389.6631352922939,1389.663135, 1391.0487087345568
1393.949712233176,1393.949712, 1395.0746788948302
1394.6491308206294,1395.074679, 1395.8036601183558
1394.41272633946,1394.412726, 1396.24101195806
1395.0346501736115,1395.80366, 1396.983007540366
1395.660885938916,1396.241012, 1397.01592115438
1401.2759866332904,1401.275987, 1402.6996648493296
1404.4211837727553,1404.421184, 1404.837850439422
1405.001265216637,1405.001265, 1406.1108305505802
1404.9855055428093,1404.985506, 1406.1795316303298
1405.8212640539964,1406.110831, 1406.6951082233636
1406.8745530843262,1406.874553, 1407.606438071432
1409.6765293478818,1409.676529, 1411.2550015626907
1410.9006964136763,1410.900696, 1412.7499213375156
1413.1159992326434,1413.115999, 1414.077730991867
1414.8487000923794,1414.8487, 1415.6446829197157
1414.3594260391262,1414.359426, 1416.0034074163605
1415.5608043146626,1415.644683, 1416.2454809810326
1418.1761563021366,1418.176156, 1419.539025232638
1417.7855265932635,1417.785527, 1419.6543162021785
1420.2020883244006,1420.202088, 1421.900978681431
1419.1378255112995,1419.539025, 1422.007978872667
1422.9097094813312,1422.909709, 1423.7078976898104
1420.6820162838465,1421.900979, 1424.394727976062
1424.2464676056914,1424.246468, 1425.1929293120172
1427.4340336963767,1427.434034, 1428.3320405277545
1427.3980801998964,1427.39808, 1428.5242983027947
1428.4830954821762,1428.483095, 1429.722901377553
1430.3656274276061,1430.365627, 1431.0784304624883
1430.4685315167233,1430.468532, 1431.2552063511869
1431.7600903978519,1431.76009, 1433.3863715225732
1433.9215326331998,1433.921533, 1434.558258954419
1433.9985890464163,1433.998589, 1434.968811787237
1435.417647865101,1435.417648, 1435.8343145317676
1435.6684369890872,1435.668437, 1436.6139502000383
1436.293930931613,1436.293931, 1436.7105975982797
1436.899106350184,1436.899106, 1438.2642053689385
1440.9697423119608,1440.969742, 1442.6302530164646
1441.0023087209488,1441.002309, 1443.059298766252
1442.9954253217616,1443.059299, 1443.9076583975993
1442.785996007915,1442.785996, 1444.4188451605341
1443.052618863068,1443.907658, 1445.1254480042594
1443.0892577392967,1444.418845, 1446.5863362795876
1443.6569809526127,1445.125448, 1446.77103788235
1445.7217769280885,1446.586336, 1447.6452659795182
1449.681368211946,1449.681368, 1451.3273191541496
1451.137918408643,1451.327319, 1451.744033123106
1450.2673465541923,1450.267347, 1452.1265250207275
1452.1660785328315,1452.166079, 1453.5782003984177
1451.3557618000323,1451.744033, 1453.6150131277218
1453.5541366937262,1453.615013, 1454.0316797943885
1452.4872879885572,1453.5782, 1454.9767613263857
1453.8302673455378,1454.03168, 1456.0291834833129
1456.4688610998064,1456.468861, 1456.8855277664732
1456.6730874507657,1456.673087, 1458.6861540980362
1459.691441858624,1459.691442, 1460.624779546621
1459.596870280377,1459.59687, 1461.4668240286544
1460.3513543199158,1460.62478, 1461.6076536370358
1461.657099502576,1461.6571, 1463.5261632329314
1462.9364756234438,1462.936476, 1464.324564600454
1474.1365268566337,1474.136527, 1474.5531935233005
1473.0409280175006,1473.040928, 1474.891168835103
1477.960237087725,1477.960237, 1479.0219767413273
1480.268468939524,1480.268469, 1480.6851356061907
1479.6573228659117,1479.657323, 1481.6811445155952
1482.4807334792874,1482.480733, 1483.353592653834
1481.1973701211725,1481.19737, 1483.4694395811086
1485.2449537331113,1485.244954, 1486.562077866918
1485.4894050367743,1485.489405, 1486.9616858175066
1489.4695969529355,1489.469597, 1489.8862636196022
1489.3352994384895,1489.335299, 1491.0309762990435
1489.661220963524,1489.886264, 1491.4808255810638
1490.387362208909,1491.030976, 1491.794773699147
1496.1718001887236,1496.1718, 1497.2474145633905
1499.8110147069415,1499.811015, 1500.6962699137418
1499.3112411328802,1499.311241, 1500.9538569685703
1500.4761099230834,1500.69627, 1502.2994470135952
1501.0794236889867,1501.079424, 1503.0636233821563
1504.2152353590131,1504.215235, 1505.2047305075314
1503.8833525721388,1503.883353, 1505.8859596471905
1506.2058831431534,1506.205883, 1507.6481622745025
1508.548012330268,1508.548012, 1508.9646789969347
1509.9977240920284,1509.997724, 1511.4767685707557
1511.1628403956418,1511.16284, 1511.5795070623085
1511.3965178905257,1511.476769, 1512.36920093257
1515.656992468304,1515.656992, 1516.5093488530633
1522.7205121377654,1522.720512, 1523.3993592811134
1523.2087731088097,1523.208773, 1523.9552653539317
1524.202448164258,1524.202448, 1525.5884423063778
1534.1082550146346,1534.108255, 1534.6290319404156
1535.2073459168996,1535.207346, 1537.575906423001
1540.6330729830654,1540.633073, 1541.7785618138744
1541.6071460610876,1541.607146, 1543.9877223363783
1543.8033067364622,1543.803307, 1545.4228781065578
1551.8379160168565,1551.837916, 1553.0251508685617
1553.454673250785,1553.454673, 1555.441855864599
1557.9787209974716,1557.978721, 1558.732689423817
1556.7172406547343,1556.717241, 1558.732963630193
1566.2844906066339,1566.284491, 1567.6751598235264
1579.3741999258136,1579.3742, 1579.9687539577228
1581.3336077191493,1581.333608, 1582.2152210773975
1584.3749828837097,1584.374983, 1584.9970032070266
1593.9598090366603,1593.959809, 1594.7600149290724
1597.318950446063,1597.31895, 1598.981758198902
1599.724350032086,1599.72435, 1600.81870901247
1604.4682113648685,1604.468211, 1605.8075488518753
1606.6440223341672,1606.644022, 1607.2644076143667
1606.9704806117084,1606.970481, 1608.3777174033332
1632.77182393126,1632.771824, 1633.1884905979268
1640.1044659677748,1640.104466, 1640.6525835537643
1640.9596593464491,1640.959659, 1642.298271138498
1642.9186370011876,1642.918637, 1643.4170695537182
1642.7328431245462,1642.732843, 1644.316648648422
1662.8286245895663,1662.828625, 1663.245291256233
1662.9415126141212,1662.941513, 1664.3237099117775
1664.2588550348983,1664.258855, 1665.6999529932007
1669.232358155524,1669.232358, 1670.41545463261
1676.80075774673,1676.800758, 1677.2957953552377
1675.9292422676212,1675.929242, 1677.8726381326185
1679.424680931173,1679.424681, 1679.886192517782
1678.3553357081032,1678.355336, 1680.3297440149481
1683.230992288832,1683.230992, 1684.3140397983104
1687.4755597104383,1687.47556, 1688.5819968469557
1693.5916260844986,1693.591626, 1694.0082927511653
1696.836772201212,1696.836772, 1697.39043104017
1700.7592143391844,1700.759214, 1701.6053394487096
1700.3609444991434,1700.360944, 1702.7136071349182
1712.142322677666,1712.142323, 1713.6350490491934
1716.7127635724214,1716.712764, 1717.5602610636513
1716.7355053696417,1716.735505, 1718.3801022477317
1719.8923274362382,1719.892327, 1720.512742666212
1721.2509714398354,1721.250971, 1722.442144525442
1721.6188662931415,1721.618866, 1722.5358055773222
1729.6662258710026,1729.666226, 1730.313883503222
1730.3686765794957,1730.368677, 1731.5610843030315
1734.787248370424,1734.787248, 1736.13283089458
1739.6506450282197,1739.650645, 1740.8290449118615
1739.3837543320371,1739.383754, 1741.1607311099158
1742.6984723096998,1742.698472, 1744.2997027022507
1746.0714350893268,1746.071435, 1747.0171950817085
1746.8177808880325,1746.817781, 1748.120657603871
1748.1071834314605,1748.107183, 1749.4210558429431
1751.2754291712129,1751.275429, 1751.7089170155123
1750.733225076626,1750.733225, 1752.3247522665188
1759.5120687113022,1759.512069, 1761.029040933628
1759.1070668433645,1759.107067, 1761.3277880357366
1762.3694573553855,1762.369457, 1762.7861240220523
1762.6518255499664,1762.651826, 1763.5885381168362
1765.2463537442068,1765.246354, 1766.2938950723046
1765.8987036360634,1765.898704, 1766.3153703027301
1766.628595714322,1766.628596, 1767.7104925515703
1766.3929775228353,1766.392978, 1767.9375839422898
1769.2240139400944,1769.224014, 1770.86860563526
1774.947473508227,1774.947474, 1775.9301860697985
1774.765160412829,1774.76516, 1776.0086066704496
1775.1118031071685,1775.930186, 1777.7605450828733
1780.0951162385747,1780.095116, 1780.5117829052415
1779.8424579646642,1779.842458, 1781.3003506185255
1785.1182091080182,1785.118209, 1785.9894426495055
1786.5136357371955,1786.513636, 1787.613735070976
1787.8658069522896,1787.865807, 1788.4083304117325
1794.2194124124594,1794.219412, 1795.3372672297369
1794.5433832322233,1794.543383, 1795.3848893666175
1797.8982176279153,1797.898218, 1799.1585312227014
1798.9340565354967,1798.934057, 1799.3507232021634
